Run #1:
[1/100] Train Loss: 251457.4790, Test Loss: 378894.6261046048, mIoU: 0.12603350280361933
[2/100] Train Loss: 151762.7009, Test Loss: 86370.08502547762, mIoU: 0.4329331784922917
[3/100] Train Loss: 113575.0256, Test Loss: 53215.24893558006, mIoU: 0.5972127316374936
[4/100] Train Loss: 102993.9036, Test Loss: 52233.866355473234, mIoU: 0.6743429279880042
[5/100] Train Loss: 91289.2104, Test Loss: 48448.70130483004, mIoU: 0.5969285233832351
[6/100] Train Loss: 83999.1966, Test Loss: 41856.329181595254, mIoU: 0.6695659005835737
[7/100] Train Loss: 76142.2615, Test Loss: 37598.53575397639, mIoU: 0.7280230138144943
[8/100] Train Loss: 70208.1978, Test Loss: 36971.055023908164, mIoU: 0.642315441598691
[9/100] Train Loss: 65654.0857, Test Loss: 32593.742941666773, mIoU: 0.6683158068480383
[10/100] Train Loss: 60273.5780, Test Loss: 32739.06436454302, mIoU: 0.6441989809958758
[11/100] Train Loss: 55712.0510, Test Loss: 28639.702658247614, mIoU: 0.674430687645351
[12/100] Train Loss: 51951.1018, Test Loss: 26993.87481702972, mIoU: 0.6847729118834365
[13/100] Train Loss: 48540.8337, Test Loss: 25650.715206791137, mIoU: 0.7550230419669228
[14/100] Train Loss: 45670.5322, Test Loss: 24491.878834110197, mIoU: 0.6255151077834891
[15/100] Train Loss: 42828.7695, Test Loss: 22806.52299608, mIoU: 0.7682995019709792
[16/100] Train Loss: 40775.4713, Test Loss: 23299.199125055053, mIoU: 0.6515405714891194
[17/100] Train Loss: 39460.1885, Test Loss: 34936.582122377324, mIoU: 0.47258000409922457
[18/100] Train Loss: 38815.2657, Test Loss: 30344.87229327373, mIoU: 0.48952428164299333
[19/100] Train Loss: 35470.2213, Test Loss: 21523.410382812162, mIoU: 0.6727965960614387
[20/100] Train Loss: 33027.5937, Test Loss: 19889.061826907167, mIoU: 0.8357694931273583
[21/100] Train Loss: 31321.3861, Test Loss: 17809.52797344938, mIoU: 0.745558719835798
[22/100] Train Loss: 29896.0452, Test Loss: 16285.515926846652, mIoU: 0.7268154251016868
[23/100] Train Loss: 29857.1774, Test Loss: 19152.36815895525, mIoU: 0.6685468976481427
[24/100] Train Loss: 26921.3546, Test Loss: 14144.111037399458, mIoU: 0.7469647150838562
[25/100] Train Loss: 24746.7282, Test Loss: 14225.228959858405, mIoU: 0.8011151916333062
[26/100] Train Loss: 23082.5453, Test Loss: 12529.40551706651, mIoU: 0.7512732830458752
[27/100] Train Loss: 21802.9219, Test Loss: 12734.86328031807, mIoU: 0.8389092848779882
[28/100] Train Loss: 20758.7773, Test Loss: 12560.257135321712, mIoU: 0.7619766218810038
[29/100] Train Loss: 19771.2778, Test Loss: 11988.018233086423, mIoU: 0.8241434779874007
[30/100] Train Loss: 18833.7226, Test Loss: 11060.506929550058, mIoU: 0.6952490862208298
[31/100] Train Loss: 18058.5077, Test Loss: 11535.29720713887, mIoU: 0.8245900003849461
[32/100] Train Loss: 17077.3435, Test Loss: 10804.487888788582, mIoU: 0.805604539266447
[33/100] Train Loss: 16377.7872, Test Loss: 10650.898963764423, mIoU: 0.8260982672210307
[34/100] Train Loss: 15676.9152, Test Loss: 9450.070456023646, mIoU: 0.8478415447032239
[35/100] Train Loss: 15092.6704, Test Loss: 9693.416859562125, mIoU: 0.8150712199418032
[36/100] Train Loss: 14918.2189, Test Loss: 10115.580375004867, mIoU: 0.8206482253808386
[37/100] Train Loss: 14116.3406, Test Loss: 9821.979993292802, mIoU: 0.7828244200045823
[38/100] Train Loss: 14038.7705, Test Loss: 9655.014769697334, mIoU: 0.7943118891791944
[39/100] Train Loss: 13218.9872, Test Loss: 8984.823109810537, mIoU: 0.8338482428529594
[40/100] Train Loss: 12474.6350, Test Loss: 8932.116485559507, mIoU: 0.820245455986893
[41/100] Train Loss: 11962.9241, Test Loss: 8179.385714432156, mIoU: 0.8335665429677127
[42/100] Train Loss: 11500.2821, Test Loss: 8554.845318913047, mIoU: 0.7972327003772917
[43/100] Train Loss: 11078.4664, Test Loss: 7653.899086908475, mIoU: 0.8420455970872127
[44/100] Train Loss: 10863.2574, Test Loss: 7473.496268532118, mIoU: 0.7571417266326315
[45/100] Train Loss: 10463.9004, Test Loss: 7180.901874836597, mIoU: 0.8322340464629212
[46/100] Train Loss: 10092.7649, Test Loss: 6832.019695008152, mIoU: 0.8159755442236815
[47/100] Train Loss: 9778.5488, Test Loss: 6975.835292758867, mIoU: 0.8446191995880253
[48/100] Train Loss: 9395.6710, Test Loss: 7360.29150479047, mIoU: 0.778556301622611
[49/100] Train Loss: 8972.9353, Test Loss: 7236.487468764026, mIoU: 0.7790245325097096
[50/100] Train Loss: 8866.8854, Test Loss: 7641.112669568269, mIoU: 0.7456889883928994
[51/100] Train Loss: 8596.5410, Test Loss: 6507.869896333447, mIoU: 0.8437279125426227
[52/100] Train Loss: 8272.7101, Test Loss: 5983.277473194706, mIoU: 0.8074641795633355
[53/100] Train Loss: 7983.7419, Test Loss: 5771.138207178649, mIoU: 0.8456752299762464
[54/100] Train Loss: 7566.6513, Test Loss: 6053.595943222047, mIoU: 0.8357495882583165
[55/100] Train Loss: 7396.3110, Test Loss: 8984.494066003503, mIoU: 0.7825395633827604
[56/100] Train Loss: 7315.0807, Test Loss: 5258.579327486428, mIoU: 0.7543019118983113
[57/100] Train Loss: 7007.3135, Test Loss: 5662.812595581157, mIoU: 0.8086841737938907
[58/100] Train Loss: 6746.5968, Test Loss: 5977.153642630001, mIoU: 0.8122546188167102
[59/100] Train Loss: 6413.4169, Test Loss: 5972.737887345544, mIoU: 0.8100235104576086
[60/100] Train Loss: 6353.0454, Test Loss: 5243.361440919117, mIoU: 0.8178465288717436
[61/100] Train Loss: 6170.4027, Test Loss: 6735.204069778728, mIoU: 0.8500750596092348
[62/100] Train Loss: 6468.6870, Test Loss: 5667.256295216033, mIoU: 0.7068170864563162
[63/100] Train Loss: 6506.9352, Test Loss: 5057.920914354535, mIoU: 0.7590728217980046
[64/100] Train Loss: 7099.1004, Test Loss: 18230.098709016882, mIoU: 0.5837875694655633
